episode,total_reward,mean_reward,std_reward,min_reward,max_reward
1,-13.83,-0.2766,1.1721365620097344,-2.994,1.406
2,-19.489000000000004,-0.38978000000000007,1.3387360201324234,-3.081,1.293
3,-18.418,-0.36835999999999997,1.3119811852309469,-3.176,1.379
4,-5.181000000000001,-0.10362000000000002,1.2699638560211073,-2.774,1.387
5,-2.9029999999999996,-0.05806000000000001,1.323424563924971,-2.533,1.378
6,-11.588000000000001,-0.23176000000000002,1.1814289578303048,-2.701,1.373
7,-15.385000000000012,-0.3077,1.2737761538041132,-2.62,1.353
8,-20.127000000000002,-0.40254000000000006,1.224178699536959,-2.919,1.384
9,-16.999000000000006,-0.33998000000000006,1.2530526324141376,-2.757,1.361
10,-16.994,-0.33988,1.320620333631131,-2.415,1.405
11,-9.064,-0.18127999999999997,1.1738071909815513,-2.437,1.389
12,-9.424,-0.18847999999999998,1.3241920893888468,-2.841,1.395
13,-14.780999999999997,-0.29562,1.2978060855150897,-2.947,1.381
14,-17.559999999999995,-0.35119999999999996,1.229236950306978,-2.915,1.398
15,-15.769999999999998,-0.3154,1.3381644443042118,-3.191,1.391
16,-13.465000000000002,-0.2693,1.284557826646975,-2.926,1.392
17,-18.078,-0.36156000000000005,1.3216922812818421,-2.772,1.389
18,-5.763,-0.11526,1.2725206451763367,-3.045,1.364
19,-7.225999999999998,-0.14452,1.2530957543619723,-2.731,1.357
20,-3.893999999999999,-0.07788,1.2761800286793397,-2.829,1.321
21,-5.816999999999998,-0.11634,1.166363521548921,-2.762,1.292
22,-23.267000000000003,-0.4653400000000001,1.1891071038388425,-2.717,1.266
23,-9.254999999999997,-0.18510000000000001,1.207706094213323,-2.863,1.246
24,-7.5200000000000005,-0.1504,1.241421105024399,-2.826,1.209
25,-10.834999999999999,-0.2167,1.1780702398414111,-2.719,1.261
26,-5.915999999999998,-0.11832,1.1613208073568646,-2.566,1.258
27,-9.296999999999999,-0.18594000000000002,1.1997110720502668,-2.791,1.275
28,-3.3319999999999985,-0.06663999999999995,1.2722259824417987,-3.025,1.297
29,-7.5569999999999995,-0.15114000000000002,1.207991274968491,-2.578,1.267
30,-1.8569999999999998,-0.03713999999999999,1.2056884673911417,-2.722,1.3
31,-5.058999999999999,-0.10118,1.275719368670085,-2.793,1.271
32,-7.694000000000003,-0.15388,1.1608582969510104,-2.181,1.276
33,-15.051,-0.30102,1.1453654349595155,-2.611,1.271
34,-4.1,-0.08200000000000002,1.1984188583295907,-2.798,1.278
35,-12.833000000000002,-0.25665999999999994,1.2409358824693562,-2.923,1.286
36,-3.0220000000000007,-0.060440000000000015,1.149061080360831,-2.664,1.287
37,-0.22300000000000053,-0.004459999999999993,1.1946262714338742,-2.459,1.305
38,-2.4369999999999994,-0.04873999999999998,1.298749842117411,-3.024,1.304
39,5.846999999999999,0.11694,1.139068802311783,-2.26,1.29
40,-3.7290000000000028,-0.07458000000000001,1.067313976110123,-2.093,1.3
41,-10.632,-0.21264,1.2071337417204442,-2.644,1.287
42,-7.837999999999998,-0.15675999999999998,1.2535724240744928,-2.698,1.288
43,4.316999999999998,0.08634,1.1164598803360557,-2.135,1.309
44,5.024000000000002,0.10048,1.1610405202231315,-2.959,1.313
45,-4.553999999999999,-0.09108,1.1566257621201423,-2.897,1.298
46,-7.714999999999999,-0.1543,1.1728339567048696,-2.686,1.289
47,-4.842,-0.09684000000000001,1.1544053596549178,-2.183,1.279
48,8.195000000000002,0.16390000000000002,0.9728122583520419,-2.396,1.28
49,-9.261999999999995,-0.18523999999999996,1.1209486082778282,-2.288,1.293
50,-10.479999999999997,-0.2096,1.1990040033294302,-2.64,1.235
51,-12.517999999999999,-0.25036,1.1526686038927234,-2.696,1.162
52,-14.168000000000001,-0.28336,1.085423636374296,-2.772,1.153
53,-18.44,-0.3688,1.1026541796955198,-2.58,1.115
54,-16.567999999999998,-0.33136000000000004,1.0751138313685673,-2.62,1.076
55,-9.465000000000002,-0.1893,1.155522102774326,-2.535,1.126
56,-13.648,-0.27296000000000004,1.1569989102847074,-2.99,1.151
57,-9.931999999999999,-0.19864,1.0281578042304595,-2.595,1.142
58,-9.358999999999998,-0.18718000000000004,1.0471627703466162,-2.437,1.163
59,-17.804999999999993,-0.35609999999999997,1.0374356895730934,-2.373,1.133
60,-9.637,-0.19274000000000005,1.082334307134353,-2.545,1.138
61,-11.917,-0.23834,1.0324558413801532,-2.274,1.118
62,-18.560000000000002,-0.3711999999999999,1.0139378284687872,-2.277,1.099
63,-18.342999999999996,-0.3668599999999999,1.1162947999520556,-2.465,1.242
64,-29.25599999999999,-0.58512,0.30742216185564764,-1.554,0.722
65,-21.835999999999995,-0.43672,0.42196113754704945,-1.494,0.871
66,-12.478999999999996,-0.24958,0.29237202944194235,-0.997,0.739
67,-15.059000000000003,-0.30118,0.4545001073707244,-1.19,0.978
68,-14.878999999999996,-0.29758,0.9245507901678524,-2.237,1.175
69,-20.049,-0.40098,1.0675024775615276,-2.343,1.204
70,-23.358000000000008,-0.46716,1.0783936453818708,-2.553,1.129
71,-16.43599999999999,-0.3287199999999999,1.0496859347442928,-2.851,1.092
72,-27.767,-0.55534,1.0120005654148618,-2.812,0.863
73,-30.178,-0.60356,0.8941008256343352,-2.377,0.887
74,-24.203,-0.48405999999999993,0.9632647696246344,-2.531,1.069
75,-31.076999999999998,-0.62154,0.9803305199778288,-2.7,0.922
76,-22.538000000000004,-0.45076,0.9113488148892278,-3.194,1.093
77,-27.698000000000008,-0.55396,1.0567117858716255,-2.73,1.206
78,-28.149000000000004,-0.56298,0.9150481624482943,-2.875,1.178
79,-17.904,-0.35808,0.9960232696076934,-2.719,1.037
80,-22.575,-0.4515,1.066609098967377,-2.581,1.153
81,-28.452,-0.56904,0.9046755873792549,-2.569,0.992
82,-15.981999999999998,-0.3196399999999999,0.9533630947335858,-2.445,1.142
83,-17.086999999999996,-0.34174,0.6047764482848187,-2.019,1.201
84,-16.878,-0.33756,0.37013944183239916,-1.236,0.765
85,-16.761000000000003,-0.33521999999999996,0.3026852021490314,-1.138,0.574
86,-24.244,-0.48488,0.5503750226890752,-1.968,0.724
87,-37.222000000000016,-0.74444,0.9453876275898685,-3.535,0.918
88,-25.913000000000007,-0.51826,0.5991562337153808,-3.02,0.569
89,-24.93,-0.49860000000000004,0.6212758807486413,-2.126,0.767
90,-26.596999999999998,-0.5319400000000001,0.8416564242017046,-3.014,0.88
91,-19.214,-0.38428000000000007,0.7092718531000648,-2.302,1.053
92,-17.535,-0.3507,0.514273672279653,-2.004,0.696
93,-24.88999999999999,-0.4978,0.6489197793256113,-1.865,0.929
94,-21.737,-0.43473999999999996,0.8621902298217025,-2.659,1.297
95,-18.088999999999995,-0.36178000000000005,1.1977291394969065,-3.021,1.429
96,-10.122999999999996,-0.20246000000000003,1.1297828501088163,-2.22,1.417
97,-11.478999999999996,-0.22957999999999998,1.1841539273253285,-3.042,1.386
98,-5.927000000000003,-0.11854000000000003,1.1037157099543342,-2.902,1.4
